0,Ht.no,Subcode,Subname,Grade,Credits
903,G4,s3,s3,D,3
904,G4,s4,s4,D,3
905,G4,s5,s5,D,3
906,G4,s6,s6,D,3
907,G4,s3,s3 Lab,B,2
908,G4,s1,s1 Lab,O,2
909,G4,iv,iv,A,2
910,G5,s1,s1,B,3
911,G5,s2,s2,C,3
912,G5,s3,s3,A,3
913,G5,s4,s4,D,3
914,G5,s5,s5,B,3
915,G5,s6,s6,B,3
916,G5,s3,s3 Lab,B,2
917,G5,s1,s1 Lab,O,2
918,G5,iv,iv,A,2
919,G6,s1,s1,B,3
920,G6,s2,s2,C,3
921,G6,s3,s3,B,3
922,G6,s4,s4,B,3
