0,Ht.no,Subcode,Subname,Grade,Credits
138,26,s3,s3,B,3
139,26,s4,s4,B,3
140,26,s5,s5,A,3
141,26,s6,s6,B,3
142,26,s3,s3 Lab,A,2
143,26,s1,s1 Lab,O,2
144,26,iv,iv,A,2
145,28,s1,s1,A,3
146,28,s2,s2,C,3
147,28,s3,s3,B,3
148,28,s4,s4,B,3
149,28,s5,s5,A,3
150,28,s6,s6,B,3
151,28,s3,s3 Lab,B,2
152,28,s1,s1 Lab,O,2
153,28,iv,iv,O,2
154,30,s1,s1,B,3
155,30,s2,s2,C,3
156,30,s3,s3,D,3
157,30,s4,s4,D,3
158,30,s5,s5,C,3
159,30,s6,s6,C,3
160,30,s3,s3 Lab,B,2
161,30,s1,s1 Lab,B,2
162,30,iv,iv,O,2
163,32,s1,s1,B,3
164,32,s2,s2,C,3
165,32,s3,s3,D,3
166,32,s4,s4,D,3
167,32,s5,s5,D,3
168,32,s6,s6,D,3
169,32,s3,s3 Lab,B,2
170,32,s1,s1 Lab,A,2
171,32,iv,iv,B,2
172,33,s1,s1,B,3
173,33,s2,s2,C,3
174,33,s3,s3,B,3
175,33,s4,s4,B,3
176,33,s5,s5,A,3
177,33,s6,s6,B,3
178,33,s3,s3 Lab,B,2
179,33,s1,s1 Lab,O,2
180,33,iv,iv,O,2
181,35,s1,s1,B,3
182,35,s2,s2,C,3
183,35,s3,s3,C,3
184,35,s4,s4,C,3
185,35,s5,s5,B,3
186,35,s6,s6,B,3
187,35,s3,s3 Lab,B,2
188,35,s1,s1 Lab,A,2
189,35,iv,iv,O,2
190,37,s1,s1,C,3
191,37,s2,s2,C,3
192,37,s3,s3,B,3
193,37,s4,s4,C,3
194,37,s5,s5,A,3
195,37,s6,s6,B,3
196,37,s3,s3 Lab,B,2
197,37,s1,s1 Lab,O,2
198,37,iv,iv,O,2
199,38,s1,s1,C,3
200,38,s2,s2,C,3
201,38,s3,s3,C,3
202,38,s4,s4,D,3
203,38,s5,s5,B,3
204,38,s6,s6,B,3
205,38,s3,s3 Lab,B,2
206,38,s1,s1 Lab,A,2
207,38,iv,iv,O,2
208,39,s1,s1,D,3
209,39,s2,s2,F,0
210,39,s3,s3,F,0
211,39,s4,s4,F,0
212,39,s5,s5,C,3
213,39,s6,s6,F,0
214,39,s3,s3 Lab,B,2
215,39,s1,s1 Lab,A,2
216,39,iv,iv,O,2
217,40,s1,s1,O,3
218,40,s2,s2,C,3
219,40,s3,s3,B,3
220,40,s4,s4,B,3
221,40,s5,s5,O,3
222,40,s6,s6,A,3
223,40,s3,s3 Lab,A,2
224,40,s1,s1 Lab,O,2
225,40,iv,iv,O,2
226,41,s1,s1,A,3
227,41,s2,s2,D,3
228,41,s3,s3,B,3
229,41,s4,s4,C,3
230,41,s5,s5,A,3
231,41,s6,s6,A,3
232,41,s3,s3 Lab,B,2
233,41,s1,s1 Lab,O,2
234,41,iv,iv,O,2
235,43,s1,s1,D,3
236,43,s2,s2,F,0
237,43,s3,s3,F,0
238,43,s4,s4,F,0
239,43,s5,s5,D,3
240,43,s6,s6,D,3
241,43,s3,s3 Lab,C,2
242,43,s1,s1 Lab,B,2
243,43,iv,iv,A,2
244,44,s1,s1,B,3
245,44,s2,s2,D,3
246,44,s3,s3,C,3
247,44,s4,s4,D,3
248,44,s5,s5,C,3
249,44,s6,s6,B,3
250,44,s3,s3 Lab,A,2
251,44,s1,s1 Lab,O,2
252,44,iv,iv,O,2
253,46,s1,s1,D,3
254,46,s2,s2,D,3
255,46,s3,s3,D,3
256,46,s4,s4,D,3
257,46,s5,s5,C,3
258,46,s6,s6,D,3
259,46,s3,s3 Lab,C,2
260,46,s1,s1 Lab,B,2
261,46,iv,iv,A,2
262,49,s1,s1,C,3
